Detector;Time;qPKW;qLKW;vPKW;vLKW
det_02to04_0;900;14;0;64.69;0
det_03to04_0;900;3;0;22.83;0
det_04to01_0;900;2;0;29.52;0
det_04to02_0;900;8;0;63.05;0
det_04to09_0;900;16;0;51.13;0
det_05to07_0;900;5;0;66.03;0
det_05to08_0;900;4;0;60.55;0
det_05to11_0;900;16;0;54.20;0
det_06to05_0;900;2;0;22.72;0
det_07to05_0;900;14;0;64.73;0
det_09to05_0;900;9;0;59.58;0
det_09to10_0;900;7;0;30.22;0
det_11to04_0;900;10;0;56.92;0
det_11to12_0;900;6;0;31.09;0
det_02to04_0;905;13;0;62.14;0
det_03to04_0;905;3;0;23.28;0
det_04to01_0;905;5;0;30.02;0
det_04to02_0;905;6;0;58.20;0
det_04to09_0;905;16;0;53.16;0
det_05to07_0;905;8;0;61.48;0
det_05to08_0;905;2;0;73.16;0
det_05to11_0;905;17;0;47.51;0
det_06to05_0;905;4;0;22.78;0
det_07to05_0;905;13;0;61.25;0
det_09to05_0;905;10;0;63.12;0
det_09to10_0;905;6;0;30.44;0
det_11to04_0;905;11;0;47.16;0
det_11to12_0;905;6;0;30.07;0
det_02to04_0;910;13;0;66.52;0
det_03to04_0;910;4;0;23.46;0
det_04to01_0;910;4;0;32.80;0
det_04to02_0;910;4;0;66.07;0
det_04to09_0;910;18;0;51.49;0
det_05to07_0;910;8;0;57.94;0
det_05to08_0;910;5;0;66.95;0
det_05to11_0;910;17;0;46.16;0
det_06to05_0;910;4;0;23.04;0
det_07to05_0;910;13;0;60.67;0
det_09to05_0;910;13;0;59.88;0
det_09to10_0;910;5;0;31.81;0
det_11to04_0;910;9;0;52.75;0
det_11to12_0;910;8;0;28.79;0
det_02to04_0;915;12;0;66.49;0
det_03to04_0;915;5;0;23.30;0
det_04to01_0;915;6;0;32.08;0
det_04to02_0;915;6;0;69.88;0
det_04to09_0;915;16;0;53.00;0
det_05to07_0;915;7;0;68.77;0
det_05to08_0;915;6;0;56.24;0
det_05to11_0;915;16;0;52.24;0
det_06to05_0;915;2;0;22.72;0
det_07to05_0;915;14;0;63.85;0
det_09to05_0;915;13;0;64.22;0
det_09to10_0;915;3;0;31.22;0
det_11to04_0;915;11;0;57.74;0
det_11to12_0;915;5;0;30.64;0
det_02to04_0;920;12;0;64.59;0
det_03to04_0;920;4;0;23.04;0
det_04to01_0;920;3;0;28.85;0
det_04to02_0;920;10;0;62.63;0
det_04to09_0;920;16;0;54.26;0
det_05to07_0;920;6;0;56.78;0
det_05to08_0;920;6;0;71.08;0
det_05to11_0;920;17;0;52.55;0
det_06to05_0;920;3;0;23.16;0
det_07to05_0;920;14;0;63.81;0
det_09to05_0;920;12;0;63.21;0
det_09to10_0;920;4;0;31.36;0
det_11to04_0;920;13;0;55.48;0
det_11to12_0;920;4;0;31.47;0
det_02to04_0;925;11;0;62.55;0
det_03to04_0;925;6;0;23.09;0
det_04to01_0;925;6;0;31.08;0
det_04to02_0;925;2;0;55.02;0
det_04to09_0;925;17;0;47.47;0
det_05to07_0;925;7;0;58.19;0
det_05to08_0;925;5;0;54.68;0
det_05to11_0;925;17;0;40.53;0
det_06to05_0;925;6;0;23.09;0
det_07to05_0;925;11;0;59.56;0
det_09to05_0;925;12;0;54.28;0
det_09to10_0;925;5;0;31.31;0
det_11to04_0;925;8;0;41.13;0
det_11to12_0;925;8;0;32.67;0
det_02to04_0;930;0;0;0.00;0
det_03to04_0;930;0;0;0.00;0
det_04to01_0;930;0;0;0.00;0
det_04to02_0;930;0;0;0.00;0
det_04to09_0;930;1;0;19.78;0
det_05to07_0;930;0;0;0.00;0
det_05to08_0;930;0;0;0.00;0
det_05to11_0;930;0;0;0.00;0
det_06to05_0;930;0;0;0.00;0
det_07to05_0;930;0;0;0.00;0
det_09to05_0;930;0;0;0.00;0
det_09to10_0;930;1;0;32.62;0
det_11to04_0;930;0;0;0.00;0
det_11to12_0;930;1;0;32.54;0
